CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate,abuse_icon_flag,total_weighted_health_survey_score,rating_cycle_1_total_health_score
335558,BENSONHURST CENTER FOR REHAB AND HEALTHCARE,BROOKLYN,Kings,NY,4.0,5.0,2.64696,0.9790000000000001,0,16.0,20.0
335470,BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,BROOKLYN,Kings,NY,2.0,4.0,3.10723,0.9545098039215687,0,39.0,36.0
335178,BROOKLYN CTR FOR REHAB AND RESIDENTIAL HEALTH CARE,BROOKLYN,Kings,NY,2.0,3.0,2.87276,0.9697508896797153,0,49.0,44.0
335070,BROOKLYN GARDENS NURSING & REHABILITATION CENTER,BROOKLYN,Kings,NY,2.0,2.0,3.1979,0.9595833333333333,0,45.0,36.0
335604,BROOKLYN UNITED METHODIST CHURCH HOME,BROOKLYN,Kings,NY,2.0,,3.11828,0.9758333333333333,0,71.0,40.0
335637,BROOKLYN-QUEENS NURSING HOME,BROOKLYN,Kings,NY,2.0,2.0,,0.9735714285714286,0,59.25,20.0
335826,BUENA VIDA REHAB AND NURSING CENTER,BROOKLYN,Kings,NY,5.0,4.0,2.75176,0.95625,0,7.0,0.0
335703,BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,BROOKLYN,Kings,NY,1.0,3.0,3.24858,0.9817777777777777,0,67.0,80.0
335245,"CATON PARK REHAB AND NURSING CENTER, L L C",BROOKLYN,Kings,NY,4.0,1.0,2.5718,0.9773109243697479,0,22.0,16.0
335174,COBBLE HILL HEALTH CENTER INC,BROOKLYN,Kings,NY,3.0,5.0,3.48029,0.9837912087912088,0,27.0,28.0
335538,CONCORD NURSING AND REHABILITATION CENTER,BROOKLYN,Kings,NY,4.0,2.0,2.65876,0.9799999999999999,0,20.0,20.0
335609,CROWN HEIGHTS CENTER FOR NURSING AND REHAB,BROOKLYN,Kings,NY,2.0,4.0,3.22466,0.9705084745762712,0,57.0,64.0
335648,DITMAS PARK CARE CENTER,BROOKLYN,Kings,NY,4.0,5.0,3.38071,0.971,0,11.0,8.0
335625,DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,BROOKLYN,Kings,NY,4.0,4.0,2.73867,0.9678125,0,22.0,20.0
335805,DR SUSAN SMITH MCKINNEY NURSING AND REHAB CENTER,BROOKLYN,Kings,NY,5.0,4.0,4.80739,0.9690625,0,6.0,8.0
335673,FOUR SEASONS NURSING AND REHABILITATION CENTER,BROOKLYN,Kings,NY,3.0,5.0,2.64142,0.9474074074074075,0,32.0,24.0
335710,HAMILTON PARK NURSING AND REHABILITATION CENTER,BROOKLYN,Kings,NY,3.0,5.0,3.21951,0.9834999999999999,0,33.0,40.0
335656,HAYM SOLOMON HOME FOR THE AGED,BROOKLYN,Kings,NY,4.0,5.0,3.6848,0.9745833333333334,0,20.0,8.0
335847,HOPKINS CENTER FOR REHABILITATION AND HEALTHCARE,BROOKLYN,Kings,NY,5.0,5.0,2.94656,0.9937499999999999,0,10.0,4.0
335545,KING DAVID CENTER FOR NURSING AND REHABILITATION,BROOKLYN,Kings,NY,3.0,4.0,3.42017,0.9697416974169742,0,38.0,44.0
335811,LINDEN CENTER FOR NURSING AND REHABILITATION,BROOKLYN,Kings,NY,4.0,4.0,3.76939,0.9828571428571428,0,21.0,24.0
335653,MENORAH HOME & HOSPITAL FOR AGED & INFIRM,BROOKLYN,Kings,NY,1.0,5.0,3.43351,0.9731651376146789,0,80.0,84.0
335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",BROOKLYN,Kings,NY,3.0,5.0,3.55597,0.8418918918918918,0,35.0,44.0
335523,NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER,BROOKLYN,Kings,NY,4.0,5.0,3.34307,0.9622222222222223,0,12.0,12.0
335163,OXFORD NURSING HOME,BROOKLYN,Kings,NY,4.0,3.0,4.05152,0.8565957446808511,0,17.0,12.0
