CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate,abuse_icon_flag,total_weighted_health_survey_score,rating_cycle_1_total_health_score,missing_metric_count,disqualified_top10_flag,health_inspection_rating_component,short_stay_qm_rating_component,adjusted_total_nurse_hours_per_resident_day_component,estimated_occupancy_rate_component,abuse_icon_flag_component,rating_cycle_1_total_health_score_component,total_weighted_health_survey_score_component,composite_score,eligible_for_top10,overall_rank,eligible_rank
315329,"OAKS AT DENVILLE, THE",DENVILLE,Morris,NJ,3.0,5.0,5.30002,0.680952380952381,0,47.0,40.0,0,False,0.5,1.0,0.5744515144198943,0.4623539593249676,1.0,0.9236641221374046,0.9326164874551971,0.8084138572848142,True,22,22.0
335842,PECONIC LANDING AT SOUTHOLD,GREENPORT,Suffolk,NY,4.0,5.0,5.38883,0.7924242424242424,0,13.0,12.0,0,False,0.75,1.0,0.5882849554903076,0.335736202352386,1.0,0.9770992366412213,0.9813620071684588,0.8074253433112247,True,23,23.0
315367,REGENCY HERITAGE NURSING AND REHABILITATION CENTER,SOMERSET,Somerset,NJ,4.0,5.0,3.63835,0.7120754716981131,0,20.0,24.0,0,False,0.75,1.0,0.3156223958130515,0.42700211457916626,1.0,0.9541984732824428,0.9713261648745519,0.805153812693396,True,24,24.0
335853,JOHN T MATHER MEMORIAL HOSP T C U,PORT JEFFERSON,Suffolk,NY,3.0,5.0,7.85911,0.825,0,30.0,36.0,0,False,0.5,1.0,0.9730667684327761,0.29873431414971885,1.0,0.9312977099236641,0.956989247311828,0.8041111905798161,True,25,25.0
315252,Complete Care at Bayshore LLC,HOLMDEL,Monmouth,NJ,3.0,5.0,3.16602,0.6064655172413793,0,43.0,36.0,0,False,0.5,1.0,0.2420501717303095,0.5469614959936735,1.0,0.9312977099236641,0.9383512544802868,0.8037559731510914,True,26,26.0
315092,CAREONE AT HOLMDEL,HOLMDEL,Monmouth,NJ,4.0,5.0,3.64661,0.7138461538461538,0,31.0,24.0,0,False,0.75,1.0,0.31690901019478346,0.4249908464534169,1.0,0.9541984732824428,0.9555555555555556,0.8036882555995023,True,27,27.0
335823,HELEN HAYES HOSPITAL R H C F,WEST HAVERSTRAW,Rockland,NY,5.0,5.0,6.74869,0.96,0,3.0,4.0,0,False,1.0,1.0,0.8001028045389762,0.14539160536564266,1.0,0.9923664122137404,0.9956989247311828,0.8017387826843448,True,28,28.0
315527,WINCHESTER GARDENS HEALTH CARE CENTER,MAPLEWOOD,Essex,NJ,4.0,5.0,5.51691,0.8066666666666666,0,28.0,28.0,0,False,0.75,1.0,0.6082352666298025,0.3195586326265687,1.0,0.9465648854961832,0.9598566308243728,0.8016666200592903,True,29,29.0
335231,"EXCEL AT WOODBURY FOR REHAB AND NURSING, L L C",WOODBURY,Nassau,NY,5.0,5.0,3.36226,0.8048780487804879,0,9.0,8.0,0,False,1.0,1.0,0.2726173879858878,0.32159027345357827,1.0,0.9847328244274809,0.9870967741935484,0.8006584147834036,True,30,30.0
315502,CareOne At Teaneck,TEANECK,Bergen,NJ,3.0,5.0,3.32497,0.625,0,43.0,52.0,0,False,0.5,1.0,0.26680893153373475,0.5259086975335353,1.0,0.9007633587786259,0.9383512544802868,0.798832116956661,True,31,31.0
335390,SURGE REHABILITATION AND NURSING LLC,MIDDLE ISLAND,Suffolk,NY,5.0,5.0,3.60681,0.8310975609756098,0,11.0,8.0,0,False,1.0,1.0,0.310709584965615,0.29180826587582187,1.0,0.9847328244274809,0.9842293906810036,0.7967926141215403,True,32,32.0
315509,Roosevelt Care Center At Old Bridge,OLD BRIDGE,Middlesex,NJ,5.0,5.0,4.48324,0.8683333333333334,0,17.0,20.0,0,False,1.0,1.0,0.4472262245033062,0.24951319774989178,1.0,0.9618320610687023,0.9756272401433692,0.7952303656403609,True,33,33.0
