CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate
315497,ALLENDALE REHABILITATION AND HEALTHCARE CENTER,ALLENDALE,Bergen,NJ,3.0,4.0,3.25771,0.8291666666666667
315313,CAREONE AT CRESSKILL,CRESSKILL,Bergen,NJ,4.0,5.0,3.15164,0.7371681415929203
315360,Emerson Health Care Center,EMERSON,Bergen,NJ,5.0,4.0,4.33627,0.8767741935483871
315377,"ACTORS FUND HOME, THE",ENGLEWOOD,Bergen,NJ,4.0,2.0,5.01175,0.8728971962616823
315349,"COMPLETE CARE AT INGLEMOOR, LLC",ENGLEWOOD,Bergen,NJ,2.0,2.0,3.35536,0.9338709677419355
315328,MAPLE GLEN CENTER,FAIRLAWN,Bergen,NJ,3.0,4.0,3.32961,0.7572327044025158
315152,CAREONE AT WELLINGTON,HACKENSACK,Bergen,NJ,2.0,5.0,3.37655,0.82890625
315460,COMPLETE CARE AT PROSPECT HEIGHTS LLC,HACKENSACK,Bergen,NJ,1.0,5.0,2.81068,0.6127551020408163
315295,COMPLETE CARE AT REGENT LLC,HACKENSACK,Bergen,NJ,2.0,3.0,3.36611,0.9433333333333334
315386,ATLAS REHABILITATION AND HEALTHCARE AT MAYWOOD,MAYWOOD,Bergen,NJ,3.0,5.0,3.13147,0.925
315306,CAREONE AT NEW MILFORD,NEW MILFORD,Bergen,NJ,2.0,5.0,2.95345,0.7635593220338982
315290,"BUCKINGHAM AT NORWOOD, THE",NORWOOD,Bergen,NJ,1.0,2.0,3.0893,0.7020833333333333
315171,OAKLAND REHABILITATION AND HEALTHCARE  CENTER,OAKLAND,Bergen,NJ,1.0,5.0,3.84641,0.8753488372093022
315339,CAREONE AT ORADELL,ORADELL,Bergen,NJ,1.0,5.0,3.86224,0.7909090909090909
315017,BERGEN NEW BRIDGE MEDICAL CENTER,PARAMUS,Bergen,NJ,3.0,4.0,3.71396,0.6202090592334495
315426,CAREONE AT RIDGEWOOD AVENUE,PARAMUS,Bergen,NJ,2.0,5.0,2.93461,0.9181818181818182
315129,DELLRIDGE HEALTH & REHABILITATION CENTER,PARAMUS,Bergen,NJ,2.0,4.0,3.6617,1.0218749999999999
315346,NEW JERSEY VETERANS MEMORIAL HOME AT PARAMUS,PARAMUS,Bergen,NJ,5.0,,6.29681,0.5967261904761905
315438,Atrium Post Acute Care at Park Ridge,PARK RIDGE,Bergen,NJ,1.0,4.0,3.41256,0.8504761904761905
315434,Family of Caring Healthcare at Ridgewood,RIDGEWOOD,Bergen,NJ,4.0,3.0,3.48273,0.9010416666666666
315158,RIDGEWOOD CENTER,RIDGEWOOD,Bergen,NJ,1.0,4.0,3.33637,0.7433333333333334
315494,ALARIS HEALTH AT THE CHATEAU,ROCHELLE PARK,Bergen,NJ,4.0,4.0,3.5531,0.7796812749003984
315473,JEWISH HOME AT ROCKLEIGH,ROCKLEIGH,Bergen,NJ,3.0,3.0,4.72302,0.9556122448979593
315502,CareOne At Teaneck,TEANECK,Bergen,NJ,3.0,5.0,3.32497,0.625
315037,FAMILY OF CARING AT TEANECK LLC,TEANECK,Bergen,NJ,4.0,2.0,3.49121,0.9738317757009346
315164,"FAMILY OF CARING HEALTHCARE AT TENAFLY, LLC",TENAFLY,Bergen,NJ,3.0,4.0,3.57529,0.9289855072463767
315369,CAREONE AT VALLEY,WESTWOOD,Bergen,NJ,5.0,5.0,3.21719,0.8653061224489795
315133,WOODCLIFF LAKE HEALTH & REHABILITATION CENTER,WOODCLIFF LAKE,Bergen,NJ,4.0,5.0,3.15724,0.7508771929824561
315376,CHRISTIAN HEALTH CARE CENTER,WYCKOFF,Bergen,NJ,2.0,4.0,4.17758,0.9101973684210526
315392,Job Haines Home For Aged People,BLOOMFIELD,Essex,NJ,5.0,4.0,5.82877,0.9475
315471,ST CATHERINE OF SIENA,CALDWELL,Essex,NJ,3.0,,2.10046,0.8566666666666667
315357,ALARIS HEALTH AT CEDAR GROVE,CEDAR GROVE,Essex,NJ,1.0,5.0,5.5559,0.7034782608695652
315036,ARBOR GLEN CENTER,CEDAR GROVE,Essex,NJ,1.0,4.0,3.21652,0.8131147540983606
315204,CANTERBURY AT CEDAR GROVE,CEDAR GROVE,Essex,NJ,1.0,2.0,,
315216,COMPLETE CARE AT CEDAR GROVE,CEDAR GROVE,Essex,NJ,3.0,5.0,3.74909,0.9010526315789473
315194,COMPLETE CARE AT ST VINCENTS LLC,CEDAR GROVE,Essex,NJ,5.0,4.0,3.27503,0.905298013245033
315268,BROOKHAVEN HEALTH CARE CENTER,EAST ORANGE,Essex,NJ,3.0,3.0,3.33231,0.940983606557377
315178,COMPLETE CARE AT ORANGE PARK,EAST ORANGE,Essex,NJ,3.0,3.0,3.84214,0.9246511627906977
315147,GROVE PARK HEALTHCARE AND REHABILITATION CENTER,EAST ORANGE,Essex,NJ,2.0,5.0,3.83757,0.941081081081081
315266,Park Crescent Healthcare & Rehabilitation Center,EAST ORANGE,Essex,NJ,3.0,5.0,3.76125,0.8842105263157894
315359,ALLIANCE CARE REHABILITATION AND NURSING CENTER,IRVINGTON,Essex,NJ,2.0,3.0,2.94668,0.9108490566037736
315479,CAREONE AT LIVINGSTON,LIVINGSTON,Essex,NJ,4.0,5.0,3.92088,0.505
315322,INGLEMOOR REHABILITATION AND CARE CENTER,LIVINGSTON,Essex,NJ,5.0,5.0,4.2655,0.7456521739130435
315526,LIVINGSTON POST ACUTE CARE,LIVINGSTON,Essex,NJ,1.0,5.0,3.05877,1.0435483870967743
315527,WINCHESTER GARDENS HEALTH CARE CENTER,MAPLEWOOD,Essex,NJ,4.0,5.0,5.51691,0.8066666666666666
315435,Family of Caring Healthcare at Montclair,MONTCLAIR,Essex,NJ,4.0,4.0,3.47018,0.95
315363,MONTCLAIR CARE CENTER,MONTCLAIR,Essex,NJ,4.0,4.0,3.91172,0.7578125
315343,BROADWAY HOUSE FOR CONTINUING CARE,NEWARK,Essex,NJ,4.0,,,0.9141025641025641
